Canonical_SMILES_STD,SCAFFOLD,ID,DB,Consensus,Quartile_fp,Quartile_prop,Presence_in_training_set,Presence_in_retraining_set,Target
CCCS(=O)(=O)c1ncc(Cl)c(C(=O)Nc2nc3ccc(F)cc3s2)n1,O=C(Nc1nc2ccccc2s1)c1ccncn1,108340_OT_DLGC,OT_DLGC,3,Q1,Q1,0,0,IAV_M2 proton channel
CN(C)C(CNS(=O)(=O)c1ccc(Cl)s1)c1ccc(F)cc1,O=S(=O)(NCCc1ccccc1)c1cccs1,7212_LC_BCL,LC_BCL,3,Q1,Q1,0,0,IAV_M2 proton channel
Cc1cccn2c(=O)c3cc(S(=O)(=O)c4ccc(F)cc4)c(=N)n(CCO)c3nc12,N=c1[nH]c2nc3ccccn3c(=O)c2cc1S(=O)(=O)c1ccccc1,"41376_OT_DLGC, 17208_LC_MASS","OT_DLGC, LC_MASS",3,Q1,Q1,0,0,IAV_M2 proton channel
Cc1ccc(CNc2oc(-c3ccc(COc4ccccc4)o3)nc2C#N)cc1,c1ccc(CNc2cnc(-c3ccc(COc4ccccc4)o3)o2)cc1,9850_LC_polsL,LC_polsL,3,Q1,Q1,0,0,IAV_M2 proton channel
O=C(c1cccs1)N1CCCc2ccc(NS(=O)(=O)c3ccc(Br)cc3)cc21,O=C(c1cccs1)N1CCCc2ccc(NS(=O)(=O)c3ccccc3)cc21,2294_ChD_AvL,ChD_AvL,3,Q1,Q1,0,0,IAV_M2 proton channel
CCN1C(=O)COc2ccc(-c3nc(NC(=O)c4ccc(F)cc4)sc3C)cc21,O=C1COc2ccc(-c3csc(NC(=O)c4ccccc4)n3)cc2N1,"23112_ChD_AvL, 48515_OT_DLGC","ChD_AvL, OT_DLGC",3,Q1,Q1,0,0,IAV_M2 proton channel
CCc1noc(-c2cccn3c(CNC(=O)COc4cccc(C)c4)nnc23)n1,O=C(COc1ccccc1)NCc1nnc2c(-c3ncno3)cccn12,38371_ChD_AvL,ChD_AvL,3,Q1,Q1,0,0,IAV_M2 proton channel
CCCN1C(=O)COc2ccc(-c3csc(NC(=O)COc4ccc(Cl)cc4Cl)n3)cc21,O=C(COc1ccccc1)Nc1nc(-c2ccc3c(c2)NC(=O)CO3)cs1,"61965_ChD_AvL, 54274_OT_DLGC","ChD_AvL, OT_DLGC",3,Q1,Q1,0,0,IAV_M2 proton channel
O=C(COc1ccccc1[N+](=O)[O-])Nc1nc(-c2ccc(Br)cc2)cs1,O=C(COc1ccccc1)Nc1nc(-c2ccccc2)cs1,7165_OT_DLGC,OT_DLGC,3,Q1,Q1,0,0,IAV_M2 proton channel
CC(=O)N1CCc2c(sc3nc(SCc4ccc(Br)cc4)n(Cc4ccccc4)c(=O)c23)C1,O=c1c2c3c(sc2nc(SCc2ccccc2)n1Cc1ccccc1)CNCC3,3810_LC_HFL,LC_HFL,3,Q1,Q1,0,0,IAV_M2 proton channel
