Canonical_SMILES_STD,SCAFFOLD,ID,DB,Consensus,Quartile_fp,Quartile_prop,Presence_in_training_set,Presence_in_retraining_set,Target
CCCCC(=O)Nc1ccc(Nc2nc(C)cc(N3CCOCC3)n2)cc1,c1ccc(Nc2nccc(N3CCOCC3)n2)cc1,13378_LC_MASS,LC_MASS,3,Q2,Q4,0,0,IAV_Neuraminidase
CCCCN(C)C(=O)Cn1c(C2CC(=O)N(Cc3ccc(F)cc3)C2)nc2ccccc21,O=C1CC(c2nc3ccccc3[nH]2)CN1Cc1ccccc1,66620_OT_DLGC,OT_DLGC,3,Q3,Q1,0,0,IAV_Neuraminidase
O=S(=O)(NCC1CCN(Cc2ccccc2)CC1)c1ccc(F)cc1,O=S(=O)(NCC1CCN(Cc2ccccc2)CC1)c1ccccc1,3017_LC_polsL,LC_polsL,3,Q3,Q1,0,0,IAV_Neuraminidase
CCN(CC)C(CNS(=O)(=O)c1ccc2c(c1)OCO2)c1ccc(OC)cc1,O=S(=O)(NCCc1ccccc1)c1ccc2c(c1)OCO2,67063_OT_DLGC,OT_DLGC,3,Q3,Q1,0,0,IAV_Neuraminidase
COc1ccccc1NC(=O)CCC(=O)N1CCN(S(=O)(=O)c2ccc(F)cc2)CC1,O=C(CCC(=O)N1CCN(S(=O)(=O)c2ccccc2)CC1)Nc1ccccc1,138635_OT_DLGC,OT_DLGC,3,Q3,Q1,0,0,IAV_Neuraminidase
COc1ccc(Cl)cc1NC(=O)CSc1nccn2nc(-c3ccc(F)cc3)cc12,O=C(CSc1nccn2nc(-c3ccccc3)cc12)Nc1ccccc1,33105_LC_MASS,LC_MASS,3,Q3,Q1,0,0,IAV_Neuraminidase
CCCc1nnc(NC(=O)c2nc(S(=O)(=O)Cc3ccccc3F)ncc2Cl)s1,O=C(Nc1nncs1)c1ccnc(S(=O)(=O)Cc2ccccc2)n1,60635_OT_DLGC,OT_DLGC,3,Q3,Q1,0,0,IAV_Neuraminidase
COC(=O)c1ccccc1NC(=O)c1csc2c1CCC(C)C2,O=C(Nc1ccccc1)c1csc2c1CCCC2,70638_OT_DLGC,OT_DLGC,3,Q3,Q1,0,0,IAV_Neuraminidase
Cc1cccc(-c2noc(CNS(=O)(=O)c3ccc(F)cc3)n2)c1,O=S(=O)(NCc1nc(-c2ccccc2)no1)c1ccccc1,61218_ChD_AvL,ChD_AvL,3,Q3,Q1,0,0,IAV_Neuraminidase
Cc1cc2n(CCNC(=O)c3ccc(F)cc3Cl)ccn2n1,O=C(NCCn1ccn2nccc12)c1ccccc1,"3146_LC_MASS, 1001_LC_ALCLBSBA","LC_MASS, LC_ALCLBSBA",3,Q3,Q1,0,0,IAV_Neuraminidase
CCCOc1ccc(S(=O)(=O)NCC(C)(O)CCSC)cc1,c1ccccc1,"12193_LC_MASS, 2657_LC_ALCLBSBA","LC_MASS, LC_ALCLBSBA",3,Q3,Q1,0,0,IAV_Neuraminidase
CCCCNC(=O)c1cc2c(=O)n3ccccc3nc2n(CCOC)c1=N,N=c1ccc2c(=O)n3ccccc3nc2[nH]1,127318_OT_DLGC,OT_DLGC,3,Q3,Q1,0,0,IAV_Neuraminidase
Cc1nn(-c2ccc(N3CCOCC3)nn2)c(C)c1CCC(=O)NCc1ccccc1F,O=C(CCc1cnn(-c2ccc(N3CCOCC3)nn2)c1)NCc1ccccc1,16012_ChD_AvL,ChD_AvL,3,Q3,Q1,0,0,IAV_Neuraminidase
O=C(CSCc1nnc(C(=O)Nc2cccc(F)c2)s1)NCCN1CCCCC1,O=C(CSCc1nnc(C(=O)Nc2ccccc2)s1)NCCN1CCCCC1,24488_ChD_AvL,ChD_AvL,3,Q3,Q1,0,0,IAV_Neuraminidase
COC(=O)c1ccccc1NC(=O)C12CC3CC(CC(C3)C1)C2,O=C(Nc1ccccc1)C12CC3CC(CC(C3)C1)C2,"540_OT_DLGC, 20362_LC_MASS","OT_DLGC, LC_MASS",3,Q3,Q1,0,0,IAV_Neuraminidase
CC1CCN(Cc2csc(N3CCN(C(=O)Cc4cccc(Cl)c4)CC3)n2)CC1,O=C(Cc1ccccc1)N1CCN(c2nc(CN3CCCCC3)cs2)CC1,52821_ChD_AvL,ChD_AvL,3,Q3,Q1,0,0,IAV_Neuraminidase
CCCSc1ncc(Br)c(C(=O)NNC(=O)c2ccccc2Cl)n1,O=C(NNC(=O)c1ccncn1)c1ccccc1,92841_OT_DLGC,OT_DLGC,3,Q3,Q1,0,0,IAV_Neuraminidase
COc1cccc(C2=NN(C(=O)CN(CCN3CCOCC3)C(=O)c3cccc(F)c3)C(c3ccccc3OC)C2)c1,O=C(c1ccccc1)N(CCN1CCOCC1)CC(=O)N1N=C(c2ccccc2)CC1c1ccccc1,11067_ChD_covL,ChD_covL,3,Q3,Q1,0,0,IAV_Neuraminidase
CCNC(=O)C(=O)NCC1OCCCN1S(=O)(=O)c1ccc(OC)cc1,O=S(=O)(c1ccccc1)N1CCCOC1,5729_LC_polsL,LC_polsL,3,Q3,Q1,0,0,IAV_Neuraminidase
Cn1ccc2c(NC(=O)Cc3csc(-c4ccccc4F)n3)cccc21,O=C(Cc1csc(-c2ccccc2)n1)Nc1cccc2[nH]ccc12,151075_OT_DLGC,OT_DLGC,3,Q3,Q1,0,0,IAV_Neuraminidase
CCc1cccc(NC(=O)CCc2c(C)nn(-c3ccc(N4CCOCC4)nn3)c2C)c1,O=C(CCc1cnn(-c2ccc(N3CCOCC3)nn2)c1)Nc1ccccc1,43503_ChD_AvL,ChD_AvL,3,Q3,Q1,0,0,IAV_Neuraminidase
CCCOc1ccc(C(C(=O)NC2CCCCCC2)N(CCC2=CCCCC2)C(=O)CCl)cc1OC,O=C(NC1CCCCCC1)C(NCCC1=CCCCC1)c1ccccc1,12954_ChD_covL,ChD_covL,3,Q3,Q1,0,0,IAV_Neuraminidase
O=C(c1cc(Cl)ccc1F)N1CCN(C(=O)c2nnn3c2COC(c2ccccc2)C3)CC1,O=C(c1ccccc1)N1CCN(C(=O)c2nnn3c2COC(c2ccccc2)C3)CC1,33541_ChD_AvL,ChD_AvL,3,Q3,Q1,0,0,IAV_Neuraminidase
CCCNC(=O)C(=O)Nc1ccccc1C(=O)OC,c1ccccc1,154198_OT_DLGC,OT_DLGC,3,Q3,Q1,0,0,IAV_Neuraminidase
COC(=O)c1c(NC(=O)CCCOc2ccc(C)cc2C)sc(C)c1C,O=C(CCCOc1ccccc1)Nc1cccs1,21419_OT_DLGC,OT_DLGC,3,Q3,Q1,0,0,IAV_Neuraminidase
CCCCNC(=O)C(=O)NCC(c1ccco1)S(=O)(=O)c1ccc(F)cc1,O=S(=O)(Cc1ccco1)c1ccccc1,20195_ChD_AvL,ChD_AvL,3,Q3,Q1,0,0,IAV_Neuraminidase
