Canonical_SMILES_STD,SCAFFOLD,ID,DB,Consensus,Quartile_fp,Quartile_prop,Presence_in_training_set,Presence_in_retraining_set,Target
CSc1ccc(C2c3c(-c4ccccc4O)n[nH]c3C(=O)N2CCCO)cc1,O=C1NC(c2ccccc2)c2c(-c3ccccc3)n[nH]c21,"1418_ChD_AvL, 107792_OT_DLGC","ChD_AvL, OT_DLGC",3,Q2,Q1,0,0,IAV_Polymerase (PA)
COc1cccc(C(=O)C2=C(O)C(=O)N(CCN(C)C)C2c2ccc(OC)c(OC)c2)c1,O=C1C=C(C(=O)c2ccccc2)C(c2ccccc2)N1,"68654_OT_DLGC, 2159_LC_HFL, 201_LC_covL, 33593_LC_MASS, 11307_LC_ASCL2DS, 1311_LC_PHSS384, 1527_LC_PHSS96","OT_DLGC, LC_HFL, LC_covL, LC_MASS, LC_ASCL2DS, LC_PHSS384, LC_PHSS96",3,Q2,Q1,0,0,IAV_Polymerase (PA)
O=C(O)c1cc(-n2cnnn2)ccc1O,c1ccc(-n2cnnn2)cc1,123565_OT_DLGC,OT_DLGC,3,Q2,Q1,0,0,IAV_Polymerase (PA)
CCOc1ccc(C(=O)C2=C(O)C(=O)N(Cc3ccco3)C2c2ccc(C(C)(C)C)cc2)cc1,O=C(C1=CC(=O)N(Cc2ccco2)C1c1ccccc1)c1ccccc1,102459_OT_DLGC,OT_DLGC,3,Q2,Q2,0,0,IAV_Polymerase (PA)
Cc1ccc(C(=O)C2=C(O)C(=O)N(CCN(C)C)C2c2ccc(F)cc2)cc1,O=C1C=C(C(=O)c2ccccc2)C(c2ccccc2)N1,"100361_OT_DLGC, 30086_LC_MASS, 9938_LC_ASCL2DS","OT_DLGC, LC_MASS, LC_ASCL2DS",3,Q2,Q2,0,0,IAV_Polymerase (PA)
Cc1cc(N2C(=O)C(O)=C(C(=O)c3ccc(F)cc3)C2c2ccc(OC(C)C)cc2)no1,O=C(C1=CC(=O)N(c2ccon2)C1c1ccccc1)c1ccccc1,31792_OT_DLGC,OT_DLGC,3,Q2,Q2,0,0,IAV_Polymerase (PA)
COc1ccc(-c2c(C)c3ccc(O)c(CN4CCCCC4)c3oc2=O)cc1OC,O=c1oc2c(CN3CCCCC3)cccc2cc1-c1ccccc1,16421_ChD_covL,ChD_covL,3,Q2,Q2,0,0,IAV_Polymerase (PA)
O=C(C1=C(O)C(=O)N(CCCn2ccnc2)C1c1ccc(F)cc1)c1ccc(Cl)cc1,O=C(C1=CC(=O)N(CCCn2ccnc2)C1c1ccccc1)c1ccccc1,125382_OT_DLGC,OT_DLGC,3,Q2,Q2,0,0,IAV_Polymerase (PA)
CC(C)Oc1ccc(C2C(C(=O)c3ccc(F)cc3)=C(O)C(=O)N2Cc2cccnc2)cc1,O=C(C1=CC(=O)N(Cc2cccnc2)C1c1ccccc1)c1ccccc1,"41108_OT_DLGC, 37032_LC_MASS","OT_DLGC, LC_MASS",3,Q2,Q2,0,0,IAV_Polymerase (PA)
Cc1ccc(C)c(C(=O)C2=C(O)C(=O)N(CCCN3CCOCC3)C2c2ccc(F)cc2)c1,O=C(C1=CC(=O)N(CCCN2CCOCC2)C1c1ccccc1)c1ccccc1,21295_OT_DLGC,OT_DLGC,3,Q2,Q2,0,0,IAV_Polymerase (PA)
CC(C)NC(=O)c1cn(-c2ccc(C(C)C)cc2)nn1,c1ccc(-n2ccnn2)cc1,144699_OT_DLGC,OT_DLGC,3,Q2,Q3,0,0,IAV_Polymerase (PA)
COc1ccc(C(=O)C2=C(O)C(=O)N(CCCO)C2c2cccc(Br)c2)cc1F,O=C1C=C(C(=O)c2ccccc2)C(c2ccccc2)N1,"105058_OT_DLGC, 44596_LC_MASS","OT_DLGC, LC_MASS",3,Q2,Q3,0,0,IAV_Polymerase (PA)
CN(C)CCN1C(=O)C(O)=C(C(=O)c2ccc(F)cc2)C1c1ccc(F)cc1,O=C1C=C(C(=O)c2ccccc2)C(c2ccccc2)N1,125533_OT_DLGC,OT_DLGC,3,Q2,Q3,0,0,IAV_Polymerase (PA)
CC(C)Oc1cc(O)c2c(=O)c(-c3ccc(O)cc3)coc2c1,O=c1c(-c2ccccc2)coc2ccccc12,"78699_OT_DLGC, 4765_LC_polsL, 19418_LC_MASS, 5966_LC_ASCL2DS, 1901_LC_BCL","OT_DLGC, LC_polsL, LC_MASS, LC_ASCL2DS, LC_BCL",3,Q2,Q3,0,0,IAV_Polymerase (PA)
COc1ccc(OCC(=O)c2ccc(O)cc2O)cc1,O=C(COc1ccccc1)c1ccccc1,4067_OT_DLGC,OT_DLGC,3,Q2,Q4,0,0,IAV_Polymerase (PA)
COc1ccc(Br)cc1/C=C1\Oc2c(ccc(O)c2CN(C)C)C1=O,O=C1/C(=C/c2ccccc2)Oc2ccccc21,"31264_LC_MASS, 10367_LC_ASCL2DS","LC_MASS, LC_ASCL2DS",3,Q2,Q4,0,0,IAV_Polymerase (PA)
O=C(NCc1ccccc1F)c1cc(-n2cnnn2)ccc1Cl,O=C(NCc1ccccc1)c1cccc(-n2cnnn2)c1,134410_OT_DLGC,OT_DLGC,3,Q3,Q1,0,0,IAV_Polymerase (PA)
CCOc1cc(C2NC(=O)NC(C)=C2C(=O)OC(C)C)ccc1O,O=C1NC=CC(c2ccccc2)N1,100726_OT_DLGC,OT_DLGC,3,Q3,Q1,0,0,IAV_Polymerase (PA)
O=C(Cc1c(O)c2ccccc2[nH]c1=O)NCc1cccc(F)c1,O=C(Cc1cc2ccccc2[nH]c1=O)NCc1ccccc1,156522_OT_DLGC,OT_DLGC,3,Q3,Q1,0,0,IAV_Polymerase (PA)
CCc1ccc(C2c3c(-c4ccccc4O)n[nH]c3C(=O)N2Cc2cccnc2)cc1,O=C1c2[nH]nc(-c3ccccc3)c2C(c2ccccc2)N1Cc1cccnc1,"40767_ChD_AvL, 56774_OT_DLGC","ChD_AvL, OT_DLGC",3,Q3,Q1,0,0,IAV_Polymerase (PA)
O=C(COc1cc(O)c2c(=O)cc(-c3ccccc3)oc2c1)Nc1cccc(Cl)c1,O=C(COc1ccc2c(=O)cc(-c3ccccc3)oc2c1)Nc1ccccc1,36869_OT_DLGC,OT_DLGC,3,Q3,Q1,0,0,IAV_Polymerase (PA)
COc1ccc2oc(-c3ccc(Cl)cc3)cc(=O)c2c1,O=c1cc(-c2ccccc2)oc2ccccc12,"78694_OT_DLGC, 12186_LC_polL, 31173_LC_MASS, 10332_LC_ASCL2DS","OT_DLGC, LC_polL, LC_MASS, LC_ASCL2DS",3,Q3,Q1,0,0,IAV_Polymerase (PA)
COc1ccc(C2C(C(=O)c3ccco3)=C(O)C(=O)N2CCCN2CCOCC2)cc1,O=C(C1=CC(=O)N(CCCN2CCOCC2)C1c1ccccc1)c1ccco1,18455_OT_DLGC,OT_DLGC,3,Q3,Q1,0,0,IAV_Polymerase (PA)
COc1cccc(C(=O)C2=C(O)C(=O)N(CCCN3CCOCC3)C2c2ccccc2)c1,O=C(C1=CC(=O)N(CCCN2CCOCC2)C1c1ccccc1)c1ccccc1,28476_OT_DLGC,OT_DLGC,3,Q3,Q1,0,0,IAV_Polymerase (PA)
