Canonical_SMILES_STD,SCAFFOLD,ID,DB,Consensus,Quartile_fp,Quartile_prop,Presence_in_training_set,Presence_in_retraining_set,Target
COc1ccc(-c2ccc(=O)n(CC(=O)Nc3ccc(C(F)(F)F)cc3)n2)cc1,O=C(Cn1nc(-c2ccccc2)ccc1=O)Nc1ccccc1,138984_OT_DLGC,OT_DLGC,3,Q4,Q1,0,0,IBV_Neuraminidase
COc1ccc(NC(=O)c2ccc(=O)n(CC(=O)Nc3ccc(C(F)(F)F)cc3)n2)cc1,O=C(Cn1nc(C(=O)Nc2ccccc2)ccc1=O)Nc1ccccc1,"44960_LC_MASS, 475_LC_gdp","LC_MASS, LC_gdp",3,Q4,Q1,0,0,IBV_Neuraminidase
CCCN(CC(=O)N1CCc2sccc2C1COc1ccc(F)cc1)C(=O)C(C)C,c1ccc(OCC2NCCc3sccc32)cc1,11101_ChD_covL,ChD_covL,3,Q4,Q1,0,0,IBV_Neuraminidase
O=C(NC1CCCCC1)C(c1ccc(Cl)cc1)N(C(=O)CCl)C1CCCCCC1,O=C(NC1CCCCC1)C(NC1CCCCCC1)c1ccccc1,8598_ChD_covL,ChD_covL,3,Q4,Q1,0,0,IBV_Neuraminidase
COc1ccc(-c2ccc(=O)n(CC(=O)NC[C@H]3CC[C@H](C(=O)O)CC3)n2)c(F)c1,O=C(Cn1nc(-c2ccccc2)ccc1=O)NCC1CCCCC1,139662_OT_DLGC,OT_DLGC,3,Q4,Q1,0,0,IBV_Neuraminidase
O=C(Cn1ccn2nc(-c3ccc4c(c3)OCO4)cc2c1=O)Nc1ccc(Cl)c(C(F)(F)F)c1,O=C(Cn1ccn2nc(-c3ccc4c(c3)OCO4)cc2c1=O)Nc1ccccc1,"36961_LC_MASS, 355_LC_gdp","LC_MASS, LC_gdp",3,Q4,Q1,0,0,IBV_Neuraminidase
C=CCOCC(O)Cn1c(N2CCOCC2)nc2c1c(=O)n(C)c(=O)n2C,O=c1[nH]c(=O)c2[nH]c(N3CCOCC3)nc2[nH]1,87276_OT_DLGC,OT_DLGC,3,Q4,Q1,0,0,IBV_Neuraminidase
O=C(CSc1cc(C(F)(F)F)c2cc3c(cc2n1)OCO3)N1CCOCC1,O=C(CSc1ccc2cc3c(cc2n1)OCO3)N1CCOCC1,67644_OT_DLGC,OT_DLGC,3,Q4,Q1,0,0,IBV_Neuraminidase
C=CCOCC(O)Cn1c(N2CCCCCC2)nc2c1c(=O)n(C)c(=O)n2C,O=c1[nH]c(=O)c2[nH]c(N3CCCCCC3)nc2[nH]1,87277_OT_DLGC,OT_DLGC,3,Q4,Q1,0,0,IBV_Neuraminidase
C=CCn1c(C)c(C)c(S(=O)(=O)c2ccc(C)cc2)c1NC(=O)CCCC,O=S(=O)(c1ccccc1)c1cc[nH]c1,120770_OT_DLGC,OT_DLGC,3,Q4,Q1,0,0,IBV_Neuraminidase
CCCCC(NS(=O)(=O)c1cccc(C(F)(F)F)c1)C(=O)O,c1ccccc1,154477_OT_DLGC,OT_DLGC,3,Q4,Q1,0,0,IBV_Neuraminidase
C=CCN1CC2=C(C1=O)C(c1ccc(OC)cc1)NC(=O)N2C,O=C1NC2=C(C(=O)NC2)C(c2ccccc2)N1,1584_LC_MASS,LC_MASS,3,Q4,Q1,0,0,IBV_Neuraminidase
CC(C)CC(C(=O)O)N1C(=O)C2C3CC(C2C1=O)C1C(c2ccc(O)cc2)c2sc(=O)[nH]c2SC31,O=C1NC(=O)C2C3CC(C4Sc5[nH]c(=O)sc5C(c5ccccc5)C34)C12,12548_ChD_AvL,ChD_AvL,3,Q4,Q1,0,0,IBV_Neuraminidase
CC[C@@H](C)[C@H](NC(=O)CC(c1ccc(F)cc1)c1ccc(Cl)cc1)C(=O)O,c1ccc(Cc2ccccc2)cc1,164515_OT_DLGC,OT_DLGC,3,Q4,Q1,0,0,IBV_Neuraminidase
C=CCOc1cccc(C(Nc2cc(C)ccn2)c2ccc3cccnc3c2O)c1,c1ccc(C(Nc2ccccn2)c2ccc3cccnc3c2)cc1,43193_ChD_AvL,ChD_AvL,3,Q4,Q1,0,0,IBV_Neuraminidase
C=CCSc1ncc(Cl)c(C(=O)N(Cc2ccc(C)cc2)C2CCS(=O)(=O)C2)n1,O=C(c1ccncn1)N(Cc1ccccc1)C1CCS(=O)(=O)C1,59156_OT_DLGC,OT_DLGC,3,Q4,Q1,0,0,IBV_Neuraminidase
COc1ccc(/C=N/NC(=O)c2n[nH]c3c2CCCC3)cc1,O=C(N/N=C/c1ccccc1)c1n[nH]c2c1CCCC2,18234_LC_MASS,LC_MASS,3,Q4,Q2,0,0,IBV_Neuraminidase
C=CCOc1ccc(C2SCC(=O)Nc3c2c(C)nn3-c2nc3ccccc3s2)cc1OC,O=C1CSC(c2ccccc2)c2cnn(-c3nc4ccccc4s3)c2N1,40659_ChD_AvL,ChD_AvL,3,Q4,Q2,0,0,IBV_Neuraminidase
CCOc1ccc(-c2ccc(SCC(=O)Nc3ccc(C(F)(F)F)cc3)nn2)cc1,O=C(CSc1ccc(-c2ccccc2)nn1)Nc1ccccc1,"29371_LC_MASS, 244_LC_gdp","LC_MASS, LC_gdp",3,Q4,Q2,0,0,IBV_Neuraminidase
C=CCOc1ccc(C(=O)N(Cc2ccc(OC)cc2)C2CCS(=O)(=O)C2)cc1,O=C(c1ccccc1)N(Cc1ccccc1)C1CCS(=O)(=O)C1,104686_OT_DLGC,OT_DLGC,3,Q4,Q2,0,0,IBV_Neuraminidase
COC(=O)[C@H](CC(C)C)NC(=O)Cn1nc(-c2ccc(F)cc2)ccc1=O,O=c1ccc(-c2ccccc2)n[nH]1,"11814_ChD_covL, 160181_OT_DLGC","ChD_covL, OT_DLGC",3,Q4,Q2,0,0,IBV_Neuraminidase
CC(=O)NC(CC(C)C)C(=O)N1CCN(Cc2ccc(-c3noc(-c4cccc(C(F)(F)F)c4)n3)cc2)CC1,c1ccc(-c2nc(-c3ccc(CN4CCNCC4)cc3)no2)cc1,10436_ChD_covL,ChD_covL,3,Q4,Q2,0,0,IBV_Neuraminidase
CC/N=C1\SC(CC(=O)Nc2sc3c(c2C(=O)OCC)CCCC3)C(=O)N1CC,N=C1NC(=O)C(CC(=O)Nc2cc3c(s2)CCCC3)S1,13206_OT_DLGC,OT_DLGC,3,Q4,Q2,0,0,IBV_Neuraminidase
