Canonical_SMILES_STD,SCAFFOLD,ID,DB,Consensus,Quartile_fp,Quartile_prop,Presence_in_training_set,Presence_in_retraining_set,Target
Cc1nc2sc3c(c2c(=O)[nH]1)CCCC3,O=c1[nH]cnc2sc3c(c12)CCCC3,"2232_OT_DLGC, 7634_LC_MASS","OT_DLGC, LC_MASS",3,Q1,Q3,0,0,SARs-CoV_Mpro
Cc1ccccc1N1C(S)=C(C#N)C(=O)NC1c1ccc(Cl)cc1,O=C1C=CN(c2ccccc2)C(c2ccccc2)N1,34342_OT_DLGC,OT_DLGC,3,Q1,Q4,0,0,SARs-CoV_Mpro
CN1CCN(S(=O)(=O)c2ccc3[nH]c(=O)[nH]c3c2)CC1,O=c1[nH]c2ccc(S(=O)(=O)N3CCNCC3)cc2[nH]1,120120_OT_DLGC,OT_DLGC,3,Q2,Q1,0,0,SARs-CoV_Mpro
O=C(C1CCCCN1S(=O)(=O)c1c(F)cccc1F)N1CCOCC1,O=C(C1CCCCN1S(=O)(=O)c1ccccc1)N1CCOCC1,4846_ChE_DDS,ChE_DDS,3,Q2,Q1,0,0,SARs-CoV_Mpro
CCN1C(=O)c2cccnc2Sc2cc(CNC(=O)c3ccc(F)cc3)ccc21,O=C(NCc1ccc2c(c1)Sc1ncccc1C(=O)N2)c1ccccc1,58796_ChD_AvL,ChD_AvL,3,Q2,Q1,0,0,SARs-CoV_Mpro
Cc1[nH]c(=O)[nH]c(=O)c1S(=O)(=O)N1CCCC(C(=O)N2CCN(Cc3ccccc3)CC2)C1,O=C(C1CCCN(S(=O)(=O)c2c[nH]c(=O)[nH]c2=O)C1)N1CCN(Cc2ccccc2)CC1,134506_OT_DLGC,OT_DLGC,3,Q2,Q1,0,0,SARs-CoV_Mpro
Cc1c(C)c2ccc(OCC(=O)N[C@@H](Cc3c[nH]c4ccccc34)C(=O)O)cc2oc1=O,O=C(COc1ccc2ccc(=O)oc2c1)NCCc1c[nH]c2ccccc12,77304_OT_DLGC,OT_DLGC,3,Q2,Q1,0,0,SARs-CoV_Mpro
COc1ccc(/C=c2/sc3nc(-c4cccnc4)nn3c2=O)cc1OC,O=c1/c(=C\c2ccccc2)sc2nc(-c3cccnc3)nn12,102578_OT_DLGC,OT_DLGC,3,Q2,Q1,0,0,SARs-CoV_Mpro
CC(C)CCNC(=O)C1(C)CN(S(=O)(=O)c2ccccc2)CC(=O)N1Cc1cccnc1,O=C1CN(S(=O)(=O)c2ccccc2)CCN1Cc1cccnc1,13446_ChD_covL,ChD_covL,3,Q2,Q1,0,0,SARs-CoV_Mpro
Cc1cc(NCc2cccnc2)n2nc(C)c(-c3ccc(Cl)cc3)c2n1,c1ccc(-c2cnn3c(NCc4cccnc4)ccnc23)cc1,18784_LC_MASS,LC_MASS,3,Q2,Q1,0,0,SARs-CoV_Mpro
Cc1ccc(N2C(=O)CN(S(=O)(=O)c3ccc(C)cc3)CC2(C)C(=O)NC2CCCC2)cc1,O=C(NC1CCCC1)C1CN(S(=O)(=O)c2ccccc2)CC(=O)N1c1ccccc1,13442_ChD_covL,ChD_covL,3,Q2,Q1,0,0,SARs-CoV_Mpro
